timestamp,open,high,low,close,volume
2025-09-17 04:00:00,420.57,422.9,420.57,422.23,4750
2025-09-17 04:01:00,422.02,422.25,421.8,421.8,3202
2025-09-17 04:02:00,421.92,421.92,420.66,420.9,2905
2025-09-17 04:03:00,420.65,420.86,419.85,420.37,8585
2025-09-17 04:04:00,420.37,420.65,420.05,420.22,2832
2025-09-17 04:05:00,420.1,420.12,419.5,419.53,3145
2025-09-17 04:06:00,419.49,420.56,419.49,420.28,1098
2025-09-17 04:07:00,420.15,420.38,420.0,420.09,935
2025-09-17 04:08:00,420.09,420.78,420.09,420.2,2759
2025-09-17 04:09:00,420.11,420.32,419.92,420.27,3174
2025-09-17 04:10:00,420.3,420.68,420.2,420.52,1380
2025-09-17 04:11:00,420.65,420.68,420.21,420.45,731
2025-09-17 04:12:00,420.45,420.64,420.37,420.4,1013
2025-09-17 04:13:00,420.36,420.36,419.88,420.15,4410
2025-09-17 04:14:00,420.19,420.2,419.77,419.8,1871
2025-09-17 04:15:00,419.8,419.8,419.3,419.56,3147
2025-09-17 04:16:00,419.59,419.64,419.3,419.38,2017
2025-09-17 04:17:00,419.3,419.38,418.8,419.2,6568
2025-09-17 04:18:00,419.01,419.4,419.0,419.21,1693
2025-09-17 04:19:00,419.11,419.11,418.65,418.79,4243
2025-09-17 04:20:00,418.7,419.39,418.69,419.22,3033
2025-09-17 04:21:00,419.2,419.34,418.88,418.88,1827
2025-09-17 04:22:00,418.92,419.04,418.78,419.0,1568
2025-09-17 04:23:00,419.0,419.0,418.67,418.8,2488
2025-09-17 04:24:00,418.85,419.2,418.79,419.2,1985
2025-09-17 04:25:00,419.11,419.48,418.97,419.0,2806
2025-09-17 04:26:00,419.11,419.11,418.65,418.8,2866
2025-09-17 04:27:00,418.77,419.16,418.77,419.15,829
2025-09-17 04:28:00,419.16,419.19,419.02,419.11,1942
2025-09-17 04:29:00,419.1,419.16,418.92,419.11,2009
2025-09-17 04:30:00,419.14,419.45,419.14,419.37,1856
2025-09-17 04:31:00,419.36,419.36,418.93,419.0,2301
2025-09-17 04:32:00,419.0,419.38,418.87,419.06,1892
