timestamp,open,high,low,close,volume
2025-12-05 04:00:00,280.95,281.0,280.95,281.0,55
2025-12-05 04:01:00,281.11,281.11,281.0,281.0,95
2025-12-05 04:02:00,280.99,281.02,280.99,281.02,45
2025-12-05 04:03:00,280.93,280.96,280.93,280.96,114
2025-12-05 04:04:00,281.02,281.02,281.02,281.02,2
2025-12-05 04:05:00,281.02,281.19,281.01,281.19,1037
2025-12-05 04:06:00,281.11,281.19,281.11,281.19,498
2025-12-05 04:07:00,281.19,281.19,281.19,281.19,0
2025-12-05 04:08:00,281.2,281.29,281.18,281.23,1345
2025-12-05 04:09:00,281.23,281.23,281.23,281.23,2
2025-12-05 04:10:00,281.25,281.25,281.25,281.25,51
2025-12-05 04:11:00,281.26,281.26,281.26,281.26,250
2025-12-05 04:12:00,281.22,281.22,281.17,281.17,1050
2025-12-05 04:13:00,281.13,281.13,281.09,281.12,375
2025-12-05 04:14:00,281.09,281.09,281.05,281.05,19
2025-12-05 04:15:00,281.05,281.05,281.05,281.05,0
2025-12-05 04:16:00,281.05,281.05,281.05,281.05,0
2025-12-05 04:17:00,281.12,281.12,281.12,281.12,2
2025-12-05 04:18:00,281.14,281.14,281.14,281.14,15
2025-12-05 04:19:00,281.01,281.01,280.97,280.97,39
2025-12-05 04:20:00,280.97,280.97,280.97,280.97,0
2025-12-05 04:21:00,281.08,281.08,281.08,281.08,4
2025-12-05 04:22:00,281.08,281.09,281.08,281.09,106
2025-12-05 04:23:00,281.09,281.09,281.09,281.09,0
2025-12-05 04:24:00,281.09,281.09,281.09,281.09,0
2025-12-05 04:25:00,281.09,281.09,281.09,281.09,0
2025-12-05 04:26:00,281.09,281.09,281.09,281.09,0
2025-12-05 04:27:00,281.09,281.09,281.09,281.09,0
2025-12-05 04:28:00,281.09,281.09,281.09,281.09,0
2025-12-05 04:29:00,281.03,281.03,281.01,281.01,132
2025-12-05 04:30:00,281.06,281.06,281.01,281.01,4
2025-12-05 04:31:00,281.03,281.03,281.03,281.03,2
2025-12-05 04:32:00,281.02,281.02,280.95,280.98,23
2025-12-05 04:33:00,280.99,280.99,280.99,280.99,50
2025-12-05 04:34:00,281.0,281.0,281.0,281.0,60
2025-12-05 04:35:00,280.94,280.94,280.93,280.93,50
2025-12-05 04:36:00,280.93,280.93,280.93,280.93,0
2025-12-05 04:37:00,280.93,280.93,280.93,280.93,0
2025-12-05 04:38:00,280.97,280.97,280.95,280.95,100
2025-12-05 04:39:00,280.98,280.98,280.98,280.98,3
2025-12-05 04:40:00,281.0,281.0,280.92,281.0,221
2025-12-05 04:41:00,281.0,281.0,281.0,281.0,1
2025-12-05 04:42:00,281.0,281.0,281.0,281.0,0
2025-12-05 04:43:00,281.0,281.0,281.0,281.0,0
2025-12-05 04:44:00,280.94,280.95,280.94,280.94,7
2025-12-05 04:45:00,280.95,280.95,280.95,280.95,3
2025-12-05 04:46:00,281.0,281.0,281.0,281.0,10
2025-12-05 04:47:00,281.0,281.0,281.0,281.0,0
2025-12-05 04:48:00,281.0,281.0,281.0,281.0,0
2025-12-05 04:49:00,280.96,280.96,280.91,280.91,48
2025-12-05 04:50:00,280.94,280.94,280.79,280.79,82
2025-12-05 04:51:00,280.83,280.9,280.83,280.9,11
2025-12-05 04:52:00,280.89,280.89,280.89,280.89,1
2025-12-05 04:53:00,280.89,280.89,280.89,280.89,0
2025-12-05 04:54:00,280.9,280.9,280.89,280.89,3
2025-12-05 04:55:00,280.85,280.85,280.82,280.82,197
2025-12-05 04:56:00,280.85,280.85,280.85,280.85,2
2025-12-05 04:57:00,280.85,280.85,280.85,280.85,0
2025-12-05 04:58:00,280.9,280.9,280.9,280.9,1
2025-12-05 04:59:00,280.9,280.9,280.89,280.89,36
2025-12-05 05:00:00,280.89,280.89,280.89,280.89,0
2025-12-05 05:01:00,280.85,280.85,280.85,280.85,44
2025-12-05 05:02:00,280.84,280.84,280.8,280.82,54
2025-12-05 05:03:00,280.82,280.82,280.82,280.82,6
2025-12-05 05:04:00,280.75,280.75,280.73,280.75,114
2025-12-05 05:05:00,280.71,280.71,280.68,280.68,15
2025-12-05 05:06:00,280.67,280.67,280.61,280.61,52
2025-12-05 05:07:00,280.57,280.57,280.22,280.22,224
2025-12-05 05:08:00,280.47,280.47,280.47,280.47,100
2025-12-05 05:09:00,280.47,280.47,280.47,280.47,0
