timestamp,open,high,low,close,volume
2025-12-23 04:00:00,310.08,310.08,310.08,310.08,0
2025-12-23 04:01:00,309.79,309.79,309.77,309.77,79
2025-12-23 04:02:00,309.78,309.8,309.78,309.78,116
2025-12-23 04:03:00,309.83,309.89,309.83,309.89,60
2025-12-23 04:04:00,309.89,309.94,309.89,309.94,66
2025-12-23 04:05:00,309.96,309.96,309.88,309.89,331
2025-12-23 04:06:00,309.93,309.93,309.93,309.93,4
2025-12-23 04:07:00,309.93,309.93,309.93,309.93,0
2025-12-23 04:08:00,309.95,310.02,309.9,309.9,295
2025-12-23 04:09:00,309.9,309.9,309.9,309.9,0
2025-12-23 04:10:00,309.95,309.95,309.95,309.95,14
2025-12-23 04:11:00,309.97,309.99,309.97,309.97,126
2025-12-23 04:12:00,309.96,309.96,309.93,309.93,66
2025-12-23 04:13:00,309.9,309.9,309.9,309.9,3
2025-12-23 04:14:00,309.9,309.9,309.9,309.9,0
2025-12-23 04:15:00,309.9,309.9,309.9,309.9,2
2025-12-23 04:16:00,309.95,309.95,309.95,309.95,3
2025-12-23 04:17:00,309.93,309.93,309.93,309.93,500
2025-12-23 04:18:00,309.95,309.99,309.9,309.99,82
2025-12-23 04:19:00,309.9,309.9,309.9,309.9,10
2025-12-23 04:20:00,309.86,309.86,309.84,309.84,90
2025-12-23 04:21:00,309.81,309.82,309.79,309.79,164
2025-12-23 04:22:00,309.79,309.79,309.79,309.79,0
2025-12-23 04:23:00,309.79,309.79,309.79,309.79,0
2025-12-23 04:24:00,309.79,309.79,309.79,309.79,0
2025-12-23 04:25:00,309.83,309.83,309.83,309.83,60
2025-12-23 04:26:00,309.83,309.83,309.83,309.83,0
2025-12-23 04:27:00,309.83,309.83,309.83,309.83,0
2025-12-23 04:28:00,309.83,309.83,309.83,309.83,0
2025-12-23 04:29:00,309.95,309.96,309.95,309.96,82
2025-12-23 04:30:00,309.95,309.96,309.92,309.96,63
2025-12-23 04:31:00,309.96,309.96,309.96,309.96,0
2025-12-23 04:32:00,309.96,309.96,309.93,309.93,40
2025-12-23 04:33:00,309.91,309.91,309.89,309.89,101
2025-12-23 04:34:00,309.89,309.89,309.89,309.89,0
2025-12-23 04:35:00,309.99,310.07,309.99,310.07,311
2025-12-23 04:36:00,310.07,310.07,310.07,310.07,0
2025-12-23 04:37:00,310.07,310.07,310.07,310.07,0
2025-12-23 04:38:00,310.14,310.14,310.14,310.14,77
2025-12-23 04:39:00,310.14,310.15,310.14,310.15,8
2025-12-23 04:40:00,310.15,310.15,310.15,310.15,0
2025-12-23 04:41:00,310.19,310.19,310.19,310.19,60
2025-12-23 04:42:00,310.19,310.19,310.19,310.19,81
2025-12-23 04:43:00,310.25,310.25,310.25,310.25,32
2025-12-23 04:44:00,310.25,310.25,310.25,310.25,0
